seal_id,tamil_reading,hypothesis,confidence,source
4626,(இ)ள ஞொன் ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4718,வரி 1- அய் ய அய் ஓ வ்யமூன்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4718,வரி 2- அம்மூ = குழந்ல ள் உணவு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
4718,பொல். வரி 2- அ ம்மூ=குழந்ல உணவு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
5119,வ வ மூை ஆ த ொழு,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
5274,வரி 1 - இை இைம ஆண(ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
5274,வரி 2 - அ ம்மூ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
5305,ர ஆ ண வ்வ அய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
5443,ளொர் ஆ ண(ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
5461,வரி 1 - ண்ண ள ய்யொ ஆ ண(ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
6213,ஓ ை ண்ணொ ஆ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
7002,ஆ ொவ்வ மூ,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
7040,ஆ ொவ்வ அய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
7078,ண ெ ய் = ணண்ெய்= தவண்ணய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
8031,ய் ெ = தெய்,VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
8041,மூ ள ஆ ொவ்வ (ள ர- ர மயக் ம்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
8117,க ொழி (ஊர்) ஆ ண(ய்),VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
9091,"வ ம ய "" ெ ய் = சிறந் மணமுலைய தெய்",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
9811,"ம ம வயய் "" ெய் = ம மவொய தெய்",VPS2024,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
